epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,train/rle_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,val/rle_loss,lr/pg0,lr/pg1,lr/pg2
1,244.978,1.24712,8.39175,0.61601,0.99975,0.02325,12.1238,0.92827,0.92688,0.96732,0.66967,0.42268,0.2759,0.15456,0.0227,1.16559,5.93777,0.21457,0.46116,0.02983,0,0.000664352,0.000664352,0.000664352
2,487.644,1.1683,6.03773,0.43337,0.65431,0.02176,6.61389,0.89382,0.88811,0.94717,0.6738,0.68809,0.49621,0.45602,0.12026,1.11942,4.78144,0.16801,0.52047,0.02908,0,0.00128709,0.00128709,0.00128709
3,733.094,1.23138,5.64166,0.37,0.68972,0.02287,6.11608,0.89558,0.83179,0.90599,0.58738,0.6785,0.44692,0.4036,0.14973,1.37805,4.98689,0.13859,0.70965,0.03631,0,0.00186584,0.00186584,0.00186584
4,978.105,1.20953,5.23953,0.3347,0.67514,0.02251,5.61397,0.91973,0.86275,0.93662,0.6669,0.63554,0.46183,0.36843,0.2091,1.15527,4.61245,0.13065,0.55692,0.02891,0,0.001802,0.001802,0.001802
5,1222.46,1.14514,4.73226,0.30984,0.62369,0.02097,5.00728,0.95033,0.93513,0.97262,0.71691,0.82468,0.64598,0.66349,0.40856,1.04939,3.27472,0.10316,0.38445,0.02609,0,0.001736,0.001736,0.001736
6,1466.51,1.08679,4.365,0.29101,0.58244,0.01977,4.46858,0.93967,0.95077,0.98047,0.77281,0.81555,0.68612,0.69703,0.47739,0.83921,2.81876,0.10848,0.35857,0.01914,0,0.00167,0.00167,0.00167
7,1711.19,1.05473,4.14679,0.28186,0.56487,0.01922,4.16136,0.95256,0.94979,0.98161,0.76408,0.80792,0.71239,0.7162,0.51378,0.89488,2.69235,0.0869,0.33942,0.02064,0,0.001604,0.001604,0.001604
8,1955.19,1.0216,3.92953,0.27267,0.53375,0.0186,3.86815,0.95356,0.93942,0.97297,0.76524,0.80729,0.69899,0.68973,0.49945,0.87926,2.72439,0.07693,0.3639,0.02132,0,0.001538,0.001538,0.001538
9,2199.4,1.00418,3.77339,0.26609,0.53798,0.01802,3.61633,0.95539,0.95387,0.98242,0.78671,0.78735,0.70702,0.66589,0.47873,0.81716,2.67254,0.06749,0.32531,0.01909,0,0.001472,0.001472,0.001472
10,2445.09,0.96906,3.64633,0.25642,0.50912,0.01737,3.38743,0.95272,0.96049,0.98512,0.79978,0.83944,0.75303,0.76096,0.55996,0.77442,2.35291,0.08852,0.31241,0.0179,0,0.001406,0.001406,0.001406
11,2689.68,0.94818,3.49431,0.25113,0.49635,0.01694,3.18785,0.9527,0.95485,0.98408,0.78627,0.83716,0.75456,0.76137,0.57537,0.83268,2.34868,0.07809,0.32377,0.01963,0,0.00134,0.00134,0.00134
12,2936.73,0.94312,3.42568,0.24752,0.48675,0.01671,3.00086,0.9596,0.95661,0.9825,0.80272,0.83691,0.77342,0.76888,0.58951,0.75683,2.21027,0.07382,0.31267,0.01746,0,0.001274,0.001274,0.001274
13,3181.35,0.9199,3.2527,0.24183,0.47396,0.01634,2.76429,0.95998,0.96151,0.98611,0.80333,0.84151,0.78667,0.7864,0.61713,0.7753,2.12124,0.07219,0.29825,0.0182,0,0.001208,0.001208,0.001208
14,3426.72,0.91296,3.228,0.23889,0.47255,0.01609,2.73149,0.95998,0.96394,0.98781,0.8125,0.84187,0.80948,0.80369,0.62753,0.74307,2.01802,0.07121,0.29478,0.01705,0,0.001142,0.001142,0.001142
15,3672.38,0.90153,3.1158,0.23404,0.45604,0.01585,2.56606,0.96494,0.96102,0.98798,0.82791,0.8603,0.7989,0.7982,0.62262,0.69912,1.99859,0.07233,0.27806,0.01565,0,0.001076,0.001076,0.001076
16,3915.87,0.88228,2.98289,0.2298,0.46026,0.01539,2.33658,0.96333,0.96712,0.98841,0.83242,0.86075,0.81451,0.81413,0.64921,0.69144,1.94404,0.0657,0.27256,0.01557,0,0.00101,0.00101,0.00101
17,4158.68,0.85437,2.91533,0.22741,0.44052,0.01493,2.22519,0.9665,0.96623,0.98858,0.83221,0.86826,0.81165,0.81568,0.65511,0.68361,1.87799,0.06495,0.26145,0.01544,0,0.000944,0.000944,0.000944
18,4402.34,0.86192,2.88475,0.22514,0.43339,0.01501,2.14743,0.96573,0.96962,0.98891,0.8397,0.84823,0.79915,0.77802,0.6272,0.66924,1.96473,0.06675,0.25952,0.01508,0,0.000878,0.000878,0.000878
19,4646.62,0.83987,2.80432,0.22249,0.43111,0.01468,1.97399,0.96619,0.96483,0.98865,0.84638,0.8446,0.8063,0.79801,0.65374,0.64915,1.91272,0.06255,0.26075,0.0145,0,0.000812,0.000812,0.000812
20,4890.98,0.82382,2.71171,0.21936,0.41754,0.01429,1.81707,0.96734,0.97184,0.99005,0.85507,0.86321,0.83369,0.82947,0.67587,0.6283,1.76091,0.06494,0.24069,0.01394,0,0.000746,0.000746,0.000746
21,5136.14,0.68417,1.95821,0.08938,0.27361,0.01628,2.445,0.9719,0.97349,0.99045,0.85917,0.86643,0.83244,0.82648,0.67738,0.61856,1.7858,0.04177,0.24109,0.01353,0,0.00068,0.00068,0.00068
22,5373.99,0.65557,1.88903,0.08393,0.25346,0.01528,2.27417,0.97272,0.97242,0.99043,0.86224,0.88648,0.84835,0.85218,0.69577,0.60799,1.64104,0.03887,0.23389,0.01314,0,0.000614,0.000614,0.000614
23,5612.94,0.63451,1.84843,0.08119,0.24438,0.01462,2.16109,0.97107,0.97489,0.99054,0.86863,0.87571,0.84225,0.83463,0.68704,0.59026,1.66196,0.03793,0.23311,0.01276,0,0.000548,0.000548,0.000548
24,5852.55,0.61729,1.76656,0.07396,0.24331,0.0141,1.91065,0.97239,0.97642,0.99082,0.87131,0.8915,0.84707,0.85392,0.70643,0.57972,1.59529,0.03597,0.22531,0.0125,0,0.000482,0.000482,0.000482
25,6092.43,0.61633,1.7176,0.07568,0.23772,0.014,1.78442,0.97551,0.97483,0.99127,0.87188,0.8914,0.86109,0.86632,0.71396,0.57398,1.54832,0.03541,0.22189,0.0123,0,0.000416,0.000416,0.000416
26,6331.27,0.59167,1.64197,0.07525,0.22337,0.01341,1.62654,0.97668,0.97502,0.99145,0.87398,0.89276,0.85077,0.85575,0.71369,0.56665,1.56122,0.03406,0.21678,0.01213,0,0.00035,0.00035,0.00035
27,6571.21,0.57243,1.58889,0.07366,0.21755,0.01296,1.48118,0.97586,0.97846,0.99138,0.87579,0.89026,0.87078,0.86526,0.71581,0.55978,1.51125,0.03417,0.2137,0.012,0,0.000284,0.000284,0.000284
28,6808.65,0.57312,1.56553,0.07328,0.2098,0.01284,1.3456,0.97562,0.97668,0.9919,0.8779,0.89911,0.8718,0.87786,0.72418,0.5576,1.47093,0.03387,0.21119,0.01193,0,0.000218,0.000218,0.000218
29,7046.6,0.56032,1.53127,0.07019,0.21145,0.0124,1.25326,0.97808,0.97783,0.99165,0.87861,0.90569,0.87282,0.87903,0.72575,0.5543,1.46369,0.03318,0.2123,0.01183,0,0.000152,0.000152,0.000152
30,7286.11,0.55206,1.48079,0.07102,0.20836,0.01241,1.19078,0.97823,0.97744,0.99175,0.87781,0.89747,0.87346,0.8776,0.72671,0.55279,1.45935,0.03277,0.21219,0.01178,0,8.6e-05,8.6e-05,8.6e-05
